Date,Open,High,Low,Close,Adj Close,Volume
2021-03-23,111.449997,112.519997,111.209999,111.650002,107.165855,1948800
2021-03-24,111.690002,113.220001,111.129997,112.610001,108.087296,1984200
2021-03-25,112.720001,112.720001,111.500000,112.279999,107.770554,2053300
2021-03-26,112.669998,113.720001,111.779999,113.639999,109.075935,1839700
2021-03-29,113.199997,113.760002,111.709999,113.279999,108.730370,1966500
2021-03-30,112.570000,113.019997,110.970001,111.230003,106.762711,1874800
2021-03-31,110.940002,112.839996,110.940002,111.680000,107.194641,2210500
2021-04-01,112.430000,114.209999,111.930000,114.199997,109.613434,1956000
2021-04-05,114.860001,115.430000,114.190002,115.110001,110.486893,1508800
2021-04-06,115.029999,115.230003,113.730003,113.910004,109.335083,2196300
2021-04-07,114.110001,114.879997,113.639999,114.750000,110.141335,2436100
2021-04-08,115.570000,116.199997,115.059998,116.040001,111.379532,2644900
2021-04-09,116.519997,117.279999,115.970001,117.169998,112.464157,1657600
2021-04-12,116.839996,117.889999,116.660004,117.709999,112.982475,2070800
2021-04-13,117.580002,119.239998,117.250000,118.720001,113.951897,1690400
2021-04-14,118.699997,119.930000,117.959999,118.190002,113.443184,1773700
2021-04-15,118.639999,119.879997,118.599998,119.860001,115.046104,2091600
2021-04-16,120.400002,121.080002,119.559998,120.730003,115.881180,2414400
2021-04-19,120.379997,120.540001,118.959999,119.739998,114.930923,2085300
2021-04-20,119.779999,120.500000,119.339996,119.760002,114.950134,2693600
2021-04-21,120.230003,120.860001,119.129997,119.529999,114.729362,1908400
2021-04-22,119.050003,120.790001,118.889999,119.839996,115.026909,1645100
2021-04-23,120.349998,121.970001,120.000000,121.269997,116.399475,1375500
2021-04-26,121.430000,121.900002,120.779999,120.860001,116.005951,1156700
2021-04-27,120.680000,121.389999,120.260002,121.230003,116.361099,1662400
2021-04-28,121.480003,121.510002,118.500000,119.070000,114.287842,2618900
2021-04-29,118.940002,119.000000,115.910004,117.680000,112.953674,3624100
2021-04-30,117.099998,117.709999,115.459999,117.709999,112.982475,3183300
2021-05-03,117.769997,118.160004,115.070000,115.459999,110.822838,2672000
2021-05-04,114.650002,114.779999,113.279999,114.540001,109.939796,3270400
2021-05-05,115.070000,115.879997,114.110001,114.720001,110.112556,2558100
2021-05-06,114.989998,115.050003,113.050003,113.620003,109.056747,2269000
2021-05-07,114.120003,115.519997,113.699997,114.809998,110.198929,2240600
2021-05-10,114.639999,115.930000,114.139999,114.279999,109.690216,1743100
2021-05-11,113.290001,113.849998,112.019997,113.070000,108.528816,1904800
2021-05-12,112.970001,113.989998,111.389999,111.459999,106.983467,2599600
2021-05-13,112.349998,113.410004,111.870003,112.169998,107.664963,2753600
